id,lang,prefix,total,good,views,edits,users,admins,ts,loclang,images,loclanglink,activeusers,version,si_mainpage,si_base,si_sitename,si_generator,si_phpversion,si_phpsapi,si_dbtype,si_dbversion,si_rev,si_case,si_rights,si_lang,si_fallback8bitEncoding,si_writeapi,si_timezone,si_timeoffset,si_articlepath,si_scriptpath,si_script,si_variantarticlepath,si_server,si_wikiid,si_time,method,http,status,si_linkprefix,si_linktrail,si_git-hash,si_logo,si_favicon,si_servername,si_git-branch,ratio
2,English,en,64285359,7076765,63208806,1312843822,49832981,828,"2025-10-19 00:00:19",English,951233,English_language,113254,1.28.0-wmf.13,"Main Page",https://en.wikipedia.org/wiki/Main_Page,Wikipedia,"MediaWiki 1.45.0-wmf.23",8.1.32,fpm-fcgi,mysql,10.6.20-MariaDB-log,,,,en,,,UTC,,/wiki/$1,/w,/w/index.php,,//en.wikipedia.org,enwiki,,8,200,a,,,,//en.wikipedia.org/static/images/project-logos/enwiki.png,https://en.wikipedia.org/static/favicon/wikipedia.ico,en.wikipedia.org,,0.1101
153,Cebuano,ceb,11230081,6115942,0,36361088,132745,7,"2025-10-19 00:00:17","Sinugboanong Binisaya",3,Sinugboanon,179,1.28.0-wmf.13,"Unang Panid",https://ceb.wikipedia.org/wiki/Unang_Panid,Wikipedia,"MediaWiki 1.45.0-wmf.23",8.1.32,fpm-fcgi,mysql,10.6.20-MariaDB-log,,,,ceb,,,UTC,,/wiki/$1,/w,/w/index.php,,//ceb.wikipedia.org,cebwiki,,8,200,a,,,,//ceb.wikipedia.org/static/images/project-logos/cebwiki.png,https://ceb.wikipedia.org/static/favicon/wikipedia.ico,ceb.wikipedia.org,,0.5446
10,German,de,8399637,3061031,8543798,258826931,4772144,169,"2025-10-19 00:00:14",Deutsch,130241,Deutsch,39132,1.28.0-wmf.13,Wikipedia:Hauptseite,https://de.wikipedia.org/wiki/Wikipedia:Hauptseite,Wikipedia,"MediaWiki 1.45.0-wmf.23",8.1.32,fpm-fcgi,mysql,10.6.20-MariaDB-log,,,,de,,,Europe/Berlin,,/wiki/$1,/w,/w/index.php,,//de.wikipedia.org,dewiki,,8,200,a,,,,//de.wikipedia.org/static/images/project-logos/dewiki.png,https://de.wikipedia.org/static/favicon/wikipedia.ico,de.wikipedia.org,,0.3644
1,French,fr,13686652,2715379,2234272,229400572,5405563,141,"2025-10-19 00:00:12",Fran&#231;ais,77264,Fran&#231;ais,41532,1.28.0-wmf.13,"Wikipédia:Accueil principal",https://fr.wikipedia.org/wiki/Wikip%C3%A9dia:Accueil_principal,Wikipédia,"MediaWiki 1.45.0-wmf.23",8.1.32,fpm-fcgi,mysql,10.6.20-MariaDB-log,,,,fr,,,Europe/Paris,,/wiki/$1,/w,/w/index.php,,//fr.wikipedia.org,frwiki,,8,200,a,,,,//fr.wikipedia.org/static/images/project-logos/frwiki.png,https://fr.wikipedia.org/static/favicon/wikipedia.ico,fr.wikipedia.org,,0.1984
16,Swedish,sv,6336460,2618141,1135996,58272750,974059,66,"2025-10-19 00:00:10",Svenska,0,Svenska,5245,1.28.0-wmf.13,Portal:Huvudsida,https://sv.wikipedia.org/wiki/Portal:Huvudsida,Wikipedia,"MediaWiki 1.45.0-wmf.23",8.1.32,fpm-fcgi,mysql,10.6.20-MariaDB-log,,,,sv,,,Europe/Berlin,,/wiki/$1,/w,/w/index.php,,//sv.wikipedia.org,svwiki,,8,200,a,,,,//sv.wikipedia.org/static/images/project-logos/svwiki.png,https://sv.wikipedia.org/static/favicon/wikipedia.ico,sv.wikipedia.org,,0.4132
8,Dutch,nl,4734332,2199755,2743142,69874298,1457929,30,"2025-10-19 00:00:08",Nederlands,20,Nederlands,9415,1.28.0-wmf.13,Hoofdpagina,https://nl.wikipedia.org/wiki/Hoofdpagina,Wikipedia,"MediaWiki 1.45.0-wmf.23",8.1.32,fpm-fcgi,mysql,10.6.20-MariaDB-log,,,,nl,,,Europe/Berlin,,/wiki/$1,/w,/w/index.php,,//nl.wikipedia.org,nlwiki,,8,200,a,,,,//nl.wikipedia.org/static/images/project-logos/nlwiki.png,https://nl.wikipedia.org/static/favicon/wikipedia.ico,nl.wikipedia.org,,0.4646
22,Spanish,es,8513837,2068794,1798947,169590680,7513147,53,"2025-10-19 00:12:58",Espa&#241;ol,0,Idioma_espa&#241;ol,12184,1.28.0-wmf.13,Wikipedia:Portada,https://es.wikipedia.org/wiki/Wikipedia:Portada,Wikipedia,"MediaWiki 1.45.0-wmf.23",8.1.31,fpm-fcgi,mysql,10.6.20-MariaDB-log,,,,es,,,UTC,,/wiki/$1,/w,/w/index.php,,//es.wikipedia.org,eswiki,,8,200,a,,,,//es.wikipedia.org/static/images/project-logos/eswiki.png,https://es.wikipedia.org/static/favicon/wikipedia.ico,es.wikipedia.org,,0.2430
24,Russian,ru,8399844,2067795,79753,148921228,3814959,63,"2025-10-19 00:00:06",&#1056;&#1091;&#1089;&#1089;&#1082;&#1080;&#1081;,262205,&#1056;&#1091;&#1089;&#1089;&#1082;&#1080;&#1081;_&#1103;&#1079;&#1099;&#1082;,7394,1.28.0-wmf.13,"Ð—Ð°Ð³Ð»Ð°Ð²Ð½Ð°Ñ ÑÑ‚Ñ€Ð°Ð½Ð¸Ñ†Ð°",https://ru.wikipedia.org/wiki/%D0%97%D0%B0%D0%B3%D0%BB%D0%B0%D0%B2%D0%BD%D0%B0%D1%8F_%D1%81%D1%82%D1%80%D0%B0%D0%BD%D0%B8%D1%86%D0%B0,Ð’Ð¸ÐºÐ¸Ð¿ÐµÐ´Ð¸Ñ,"MediaWiki 1.45.0-wmf.23",8.1.31,fpm-fcgi,mysql,10.6.20-MariaDB-log,,,,ru,,,UTC,,/wiki/$1,/w,/w/index.php,,//ru.wikipedia.org,ruwiki,,8,200,a,,,,//ru.wikipedia.org/static/images/project-logos/ruwiki.png,https://ru.wikipedia.org/static/favicon/wikipedia.ico,ru.wikipedia.org,,0.2462
4,Italian,it,8418711,1940448,406,146982910,2714922,111,"2025-10-19 00:12:55",Italiano,122364,Lingua_italiana,25443,1.28.0-wmf.13,"Pagina principale",https://it.wikipedia.org/wiki/Pagina_principale,Wikipedia,"MediaWiki 1.45.0-wmf.23",8.1.31,fpm-fcgi,mysql,10.6.21-MariaDB-log,,,,it,,,Europe/Berlin,,/wiki/$1,/w,/w/index.php,,//it.wikipedia.org,itwiki,,8,200,a,,,,//it.wikipedia.org/static/images/project-logos/itwiki.png,https://it.wikipedia.org/static/favicon/wikipedia.ico,it.wikipedia.org,,0.2305
3,Polish,pl,3945342,1672116,2704125,77633376,1439467,95,"2025-10-19 00:12:53",Polski,264,J&#281;zyk_polski,11527,1.28.0-wmf.13,"Wikipedia:Strona gÅ‚Ã³wna",https://pl.wikipedia.org/wiki/Wikipedia:Strona_g%C5%82%C3%B3wna,Wikipedia,"MediaWiki 1.45.0-wmf.23",8.1.31,fpm-fcgi,mysql,10.6.20-MariaDB-log,,,,pl,,,Europe/Warsaw,,/wiki/$1,/w,/w/index.php,,//pl.wikipedia.org,plwiki,,8,200,a,,,,//pl.wikipedia.org/static/images/project-logos/plwiki.png,https://pl.wikipedia.org/static/favicon/wikipedia.ico,pl.wikipedia.org,,0.4238
