wikiStats|el

redirects|1161
r|Πρότυπο:Infobox sports league|Πρότυπο:Κουτί πληροφοριών αθλητικής διοργάνωσης
r|Πρότυπο:De icon|Πρότυπο:De
r|Πρότυπο:Nobreak|Πρότυπο:Nowrap
r|Πρότυπο:Infobox Stadium|Πρότυπο:Infobox stadium
r|Πρότυπο:Silver2|Πρότυπο:Silver02
r|Πρότυπο:Family tree/start|Πρότυπο:Γενεαλογικό δέντρο/έναρξη
r|Πρότυπο:Family tree/step2|Πρότυπο:Γενεαλογικό δέντρο/βήμα2
r|Πρότυπο:IRE|Πρότυπο:IRL
r|Πρότυπο:Πληροφορίες ορθόδοξη εκκλησία|Πρότυπο:Πληροφορίες εκκλησίας
r|Πρότυπο:Λεωφόρος Ποσειδώνος|Πρότυπο:Εθνική Οδός 56α (Ελλάδα)
r|Πρότυπο:Φάση των 8|Πρότυπο:Φάση των 8-Μονοί αγώνες
r|Πρότυπο:SKN|Πρότυπο:KNA
r|Πρότυπο:Location map Italy|Πρότυπο:Location map Ιταλία
r|Πρότυπο:Α.Π.Σ. Πάτραι|Πρότυπο:Πάτραι
r|Πρότυπο:Συρμοί και μηχανές ΟΣΕ|Πρότυπο:Τροχαίο υλικό του ΟΣΕ
r|Πρότυπο:Εθνική Ρωσίας - Euro 2012|Πρότυπο:Εθνική Ρωσίας - Ευρωπαϊκό Πρωτάθλημα 2012
r|Πρότυπο:Football kit|Πρότυπο:Ποδοσφαιρική αμφίεση
r|Πρότυπο:TemplateDataHeader|Πρότυπο:TemplateData header
r|Πρότυπο:TRI|Πρότυπο:TTO
r|Πρότυπο:Dts/fmt|Πρότυπο:Dts/fmtmdy
r|Πρότυπο:Πόλη (Μπουρουντί)|Πρότυπο:Πόλη (Μπουρούντι)
r|Πρότυπο:Γκάλερι|Πρότυπο:Γκαλερί
r|Πρότυπο:Κύπελλο:Φάση των 16|Πρότυπο:Κύπελλο:Φάση των 16-Διπλοί αγώνες
r|Πρότυπο:Δορυφόροι Ουρανού|Πρότυπο:Δορυφόροι του Ουρανού
r|Πρότυπο:Ελληνικά κοινοβουλευτικά πολιτικά κόμματα|Πρότυπο:Ελληνικά κοινοβουλευτικά πολιτικά κόμματα (ΙΔ' περίοδος)
r|Πρότυπο:Όμιλος Α του Παγκοσμίου Κυπέλλου Ποδοσφαίρου 2014|Πρότυπο:Όμιλος Α΄ του Παγκόσμιου Κυπέλλου Ποδοσφαίρου 2014
r|Πρότυπο:S-line/ΟΣΕ left/Λειανοκλάδι - Στυλίδα|Πρότυπο:S-line/ΤΡΑΙΝΟΣΕ left/Λειανοκλάδι - Στυλίδα
r|Πρότυπο:Διαστημικά Λεωφορεία|Πρότυπο:Διαστημοπλάνα
r|Πρότυπο:Opcit|Πρότυπο:Op. cit.
r|Πρότυπο:S-line/ΟΣΕ right/Αθήνα - Καλαμπάκα|Πρότυπο:S-line/ΤΡΑΙΝΟΣΕ right/Αθήνα - Καλαμπάκα
r|Πρότυπο:Δήμος Νάουσας|Πρότυπο:Δήμος Ηρωικής Πόλης Νάουσας
r|Πρότυπο:Μεσοζωική Εποχή|Πρότυπο:Μεσοζωικός αιώνας
r|Πρότυπο:Infobox Olympic event|Πρότυπο:Πλαίσιο ολυμπιακού αγωνίσματος
