wikiStats|es

redirects|4476
r|Plantilla:Infobox tennis circuit season|Plantilla:Ficha de competición deportiva
r|Plantilla:Infobox Spacecraft|Plantilla:Ficha de vehículo espacial
r|Plantilla:Campaña Tercera Intervención Norteamericana en México|Plantilla:Campaña Expedición punitiva contra Francisco Villa
r|Plantilla:Geodatos MWI|Plantilla:Geodatos Malaui
r|Plantilla:Geodatos Córdoba (Argentina)|Plantilla:Geodatos Provincia de Córdoba (Argentina)
r|Plantilla:ICD9proc|Plantilla:CIE-9proc
r|Plantilla:Nobreak|Plantilla:Nowrap
r|Plantilla:Mapa de localización de Miami-Dade|Plantilla:Mapa de localización de Miami
r|Plantilla:Geodatos ESA|Plantilla:Geodatos El Salvador
r|Plantilla:Talkback|Plantilla:Respuesta
r|Plantilla:Geodatos Departamento de Chinandega|Plantilla:Geodatos Chinandega
r|Plantilla:Portada Bueno/1879|Plantilla:Portada Bueno/1878
r|Plantilla:Portada Bueno/2393|Plantilla:Portada Bueno/2392
r|Plantilla:Geodatos NZ|Plantilla:Geodatos Nueva Zelanda
r|Plantilla:Geodatos Japan|Plantilla:Geodatos Japón
r|Plantilla:Copa de 16 clubes|Plantilla:Copa de 16 equipos-2 rondas
r|Plantilla:FAQ|Plantilla:Preguntas frecuentes
r|Plantilla:Imdb compañía|Plantilla:IMDb compañía
r|Plantilla:Fs start|Plantilla:Equipo de fútbol inicio
r|Plantilla:Geodatos Morocco|Plantilla:Geodatos Marruecos
r|Plantilla:Geodatos la Unión Soviética|Plantilla:Geodatos Unión Soviética
r|Plantilla:Geodatos Luxembourg|Plantilla:Geodatos Luxemburgo
r|Plantilla:Man/defecto|Plantilla:Man/Debian
r|Plantilla:SOU|Plantilla:SSD
r|Plantilla:Para|Plantilla:Otros usos
r|Plantilla:Portada Bueno/2447|Plantilla:Portada Bueno/2446
r|Plantilla:Ficha de carrera de Fórmula 1|Plantilla:Ficha de competición deportiva
r|Plantilla:Vilagarcía de Arousa|Plantilla:Villagarcía de Arosa
r|Plantilla:Geodatos the Pacific Community|Plantilla:Geodatos Territorio en Fideicomiso de las Islas del Pacífico
r|Plantilla:Geodatos Méjico|Plantilla:Geodatos México
r|Plantilla:Ficha de festival|Plantilla:Ficha de fiesta
r|Plantilla:Australia|Plantilla:AUS
r|Plantilla:Wikivoyage|Plantilla:Wikiviajes
r|Plantilla:Geodatos Canarias|Plantilla:Geodatos Islas Canarias
r|Plantilla:Mapa de localización de Malawi|Plantilla:Mapa de localización de Malaui
r|Plantilla:MPI|Plantilla:MedlinePlusImagenes
r|Plantilla:Geodatos Guinea-Bissau|Plantilla:Geodatos Guinea-Bisáu
r|Plantilla:Olimpíada|Plantilla:Ficha de Juegos Olímpicos
r|Plantilla:Sitio web oficial|Plantilla:Página web
r|Plantilla:Irak|Plantilla:IRQ
r|Plantilla:Mapa de localización de Oblast de Kaliningrado|Plantilla:Mapa de localización de Óblast de Kaliningrado
r|Plantilla:Cita video|Plantilla:Cita vídeo
r|Plantilla:Portada Bueno/2875|Plantilla:Portada Bueno/2874
r|Plantilla:Ciclista|Plantilla:Ficha de ciclista
r|Plantilla:Geodatos Chuvashia|Plantilla:Geodatos Chuvasia
r|Plantilla:Semifinales|Plantilla:Copa de 4 equipos-1 ronda-v2
r|Plantilla:MarkAB|Plantilla:AB
r|Plantilla:Portada Bueno/2295|Plantilla:Portada Bueno/2294
r|Plantilla:Geodatos UNASUR|Plantilla:Geodatos Unión de Naciones Suramericanas
r|Plantilla:Portada Bueno/2353|Plantilla:Portada Bueno/2352
r|Plantilla:Geodatos Pennsylvania|Plantilla:Geodatos Pensilvania
r|Plantilla:Congo Belga|Plantilla:CBG
r|Plantilla:Ficha de presa|Plantilla:Ficha de embalse
r|Plantilla:Portada Bueno/2435|Plantilla:Portada Bueno/2434
r|Plantilla:Imdb nombre|Plantilla:IMDb nombre
r|Plantilla:Portada Bueno/2525|Plantilla:Portada Bueno/2524
r|Plantilla:Infobox Military Conflict|Plantilla:Ficha de conflicto
r|Plantilla:Geodatos Québec|Plantilla:Geodatos Quebec
r|Plantilla:Portada Bueno/1907|Plantilla:Portada Bueno/1906
r|Plantilla:Geodatos BIZ|Plantilla:Geodatos Belice
r|Plantilla:Portugal|Plantilla:PRT
r|Plantilla:Geodatos Prefectura de Hyôgo|Plantilla:Geodatos Prefectura de Hyōgo
r|Plantilla:Argumenta|Plantilla:Falacias
r|Plantilla:Geodatos NLD|Plantilla:Geodatos Países Bajos
r|Plantilla:¿dónde?|Plantilla:Dónde
r|Plantilla:STS|Plantilla:Ficha de misión espacial
r|Plantilla:Geodatos Germany|Plantilla:Geodatos Alemania
r|Plantilla:Portada Bueno/2341|Plantilla:Portada Bueno/2340
r|Plantilla:Current|Plantilla:Evento actual
r|Plantilla:Geodatos Acre (Brasil)|Plantilla:Geodatos Acre
r|Plantilla:Puente|Plantilla:Ficha de puente
r|Plantilla:Iaaf name|Plantilla:IAAF
r|Plantilla:Geodatos Prefectura de Ôita|Plantilla:Geodatos Prefectura de Ōita
r|Plantilla:Englebert|Plantilla:Neumático
r|Plantilla:Portada Bueno/2247|Plantilla:Portada Bueno/2246
r|Plantilla:Ficha de ópera|Plantilla:Ficha de obra de teatro
r|Plantilla:Infobox football club|Plantilla:Ficha de equipo de fútbol
r|Plantilla:Geodatos OPEC|Plantilla:Geodatos OPEP
r|Plantilla:Sin referencias|Plantilla:Cita requerida
r|Plantilla:Desplegable|Plantilla:Lista desplegable
r|Plantilla:Portada Bueno/2183|Plantilla:Portada Bueno/2182
r|Plantilla:Infobox Disease|Plantilla:Ficha de enfermedad
r|Plantilla:Israel|Plantilla:ISR
r|Plantilla:Ficha de compuesto|Plantilla:Ficha de compuesto químico
r|Plantilla:Epguide|Plantilla:Epguides
r|Plantilla:Honduras|Plantilla:HND
r|Plantilla:Portada Bueno/2137|Plantilla:Portada Bueno/2136
r|Plantilla:Prueba3c|Plantilla:Aviso spam3
r|Plantilla:PAL|Plantilla:PSE
r|Plantilla:Austria|Plantilla:AUT
r|Plantilla:Tutoría|Plantilla:Programa de tutoría
r|Plantilla:Tm|Plantilla:Título en minúscula
r|Plantilla:Portada Bueno/2079|Plantilla:Portada Bueno/2078
r|Plantilla:Geodatos PLE|Plantilla:Geodatos Palestina
r|Plantilla:Copyvio|Plantilla:Posible copyvio
r|Plantilla:Geodatos RFS Yugoslavia|Plantilla:Geodatos RFS de Yugoslavia
r|Plantilla:Geodatos Orel|Plantilla:Geodatos Oriol
r|Plantilla:Añadido|Plantilla:Hecho
r|Plantilla:Ramal Victoria - Pergamino/Estaciones|Plantilla:Ramal Victoria - Capilla del Señor - Pergamino/Estaciones
r|Plantilla:Refimprove|Plantilla:Referencias
r|Plantilla:Portada Bueno/3129|Plantilla:Portada Bueno/3128
r|Plantilla:Flag|Plantilla:Bandera
r|Plantilla:Portada Bueno/2277|Plantilla:Portada Bueno/2276
r|Plantilla:Ficha de rio|Plantilla:Ficha de cuerpo de agua
r|Plantilla:Selección nacional de fútbol femenino|Plantilla:Selección de fútbol femenino
r|Plantilla:Medalla de oro|Plantilla:Med-o
r|Plantilla:BillboardURLbyName/doc|Plantilla:EnlaceBillboardporNombre/doc
r|Plantilla:Geodatos Kagawa|Plantilla:Geodatos Prefectura de Kagawa
r|Plantilla:Si|Plantilla:Sí
r|Plantilla:Geodatos CAM|Plantilla:Geodatos Camboya
r|Plantilla:Internet Archive short film|Plantilla:Internet Archive cortometraje
r|Plantilla:Portada Bueno/2851|Plantilla:Portada Bueno/2850
r|Plantilla:Infobox National Political Convention|Plantilla:Ficha de evento
r|Plantilla:Geodatos Prefectura de Koti|Plantilla:Geodatos Prefectura de Kōchi
r|Plantilla:Traducción automática|Plantilla:Autotrad
r|Plantilla:Blanqueo|Plantilla:Aviso blanqueo
r|Plantilla:Equipos-Premier-League-2010/11|Plantilla:Mapa Premier League 2010/11
r|Plantilla:Geodatos YUG|Plantilla:Geodatos Yugoslavia
r|Plantilla:CDB|Plantilla:Cdb
r|Plantilla:Ficha de cargo politico|Plantilla:Ficha de cargo político
r|Plantilla:Geodatos RF Yugoslavia|Plantilla:Geodatos RF de Yugoslavia
r|Plantilla:Portada Bueno/2577|Plantilla:Portada Bueno/2576
r|Plantilla:VG Reviews|Plantilla:Crítica de videojuego
r|Plantilla:Ficha Autoridad|Plantilla:Ficha de autoridad
r|Plantilla:Tlp|Plantilla:Ep
r|Plantilla:Portada Bueno/2487|Plantilla:Portada Bueno/2486
r|Plantilla:URY|Plantilla:URU
r|Plantilla:Geodatos Kostroma|Plantilla:Geodatos Kostromá
r|Plantilla:Cite news|Plantilla:Cita noticia
r|Plantilla:Geodatos Departamento de Estelí|Plantilla:Geodatos Estelí
r|Plantilla:Geodatos NER|Plantilla:Geodatos Níger
r|Plantilla:Portada Bueno/2491|Plantilla:Portada Bueno/2490
r|Plantilla:Mapa de localización de Oblast de Leningrado|Plantilla:Mapa de localización de Óblast de Leningrado
r|Plantilla:Geodatos ROM|Plantilla:Geodatos Rumania
r|Plantilla:Portada Bueno/2789|Plantilla:Portada Bueno/2788
r|Plantilla:Discusión|Plantilla:Encabezado discusión
r|Plantilla:Geodatos Egypt|Plantilla:Geodatos Egipto
r|Plantilla:Campaña Egipto Siria|Plantilla:Campaña Egipto-Siria
r|Plantilla:Muerte|Plantilla:Fecha de muerte
r|Plantilla:PortalBase/Editintro/¿Sabías que|Plantilla:PortalBase/Editintro/Sabías que
r|Plantilla:Atajo|Plantilla:Atajos
r|Plantilla:Geodatos las Naciones Unidas|Plantilla:Geodatos Naciones Unidas
r|Plantilla:MON|Plantilla:MCO
r|Plantilla:Grading scheme|Plantilla:Sistema de clasificación
r|Plantilla:ArXiv|Plantilla:Arxiv
r|Plantilla:Geodatos LBR|Plantilla:Geodatos Liberia
r|Plantilla:Ficha de políticos|Plantilla:Ficha de cargo político
r|Plantilla:Portada Bueno/2623|Plantilla:Portada Bueno/2622
r|Plantilla:Portada Bueno/1827|Plantilla:Portada Bueno/1826
r|Plantilla:IMDb name|Plantilla:IMDb nombre
