wikiStats|ja

redirects|6545
r|Template:Country alias TCD|Template:Country alias Chad
r|Template:Cite pmid/16225556|Template:Cite doi/10.1111.2Fj.1399-5618.2005.00250.x
r|Template:シドニーオリンピック野球大韓民国代表|Template:シドニーオリンピック野球韓国代表
r|Template:Country data ユタ州|Template:Country data Utah
r|Template:ニュージャージー・ネッツのロースター|Template:ブルックリン・ネッツのロースター
r|Template:百科事典に不適当|Template:百科事典的でない
r|Template:Country data バルバドス|Template:Country data Barbados
r|Template:Infobox military structure|Template:Infobox Military Structure
r|Template:ROM|Template:ROU
r|Template:Number table sorting/Qyes/1|Template:Nts/Qyes/1
r|Template:転載疑い|Template:著作権問題調査依頼
r|Template:Cite pmid/19092804|Template:Cite doi/10.1038.2Fnature07602
r|Template:FIFA U-20ワールドカップ2007日本代表|Template:2007 FIFA U-20ワールドカップ 日本代表
r|Template:Country data イタリア王国|Template:Country data Kingdom of Italy
r|Template:Stereogram|Template:Stereogram guide
r|Template:Ikkatsu|Template:一括
r|Template:FormatDate|Template:Date
r|Template:スペシャルレフェリー|Template:プロフェッショナルレフェリー
r|Template:1x|Template:P1
r|Template:Open proxy|Template:Blocked proxy
r|Template:Citation Needed|Template:要出典
r|Template:Link-interwiki|Template:仮リンク
r|Template:Infobox play|Template:Infobox Play
r|Template:バレーボール全日本女子09グラチャンバレー|Template:2009年バレーボール・ワールドグランドチャンピオンズカップ全日本女子
r|Template:即時削除/F1-5|Template:即時削除/ファイル1-5
r|Template:Country data マラヤ連邦|Template:Country data Malaya
r|Template:Country data バイエルン州|Template:Country data Bavaria
r|Template:Height/m to ft in|Template:Height
r|Template:Country data Congo, Republic of the|Template:Country data Republic of the Congo
r|Template:Infobox protected area|Template:Infobox Protected area
r|Template:UEFA欧州選手権2000オランダ代表|Template:UEFA EURO 2000オランダ代表
r|Template:英国アカデミー賞作品賞 1947-1960|Template:英国アカデミー賞作品賞
r|Template:ミディアルタ エンタテインメントワークス|Template:ミディアルタ
r|Template:即時削除2/カテゴリ2|Template:即時削除/カテゴリ2
r|Template:Infobox political post|Template:Infobox Political post
r|Template:S-line/LIRR left/ヘムステッド|Template:S-line/LIRR left/branches
r|Template:Country data POR|Template:Country data Portugal
r|Template:バレーボール全日本男子80オリンピック世界最終予選|Template:1980年オリンピックバレーボール世界最終予選全日本男子
r|Template:トライバル級駆逐艦|Template:トライバル級駆逐艦 (2代)
r|Template:RSA1928|Template:ZAF1928
r|Template:UEFA ヨーロッパリーグ 優勝監督|Template:UEFAヨーロッパリーグ優勝監督
r|Template:Country data カラブリア州|Template:Country data Calabria
r|Template:Country data ペルー|Template:Country data Peru
r|Template:Highlight|Template:Hilite
r|Template:釜山地下鉄1号線|Template:釜山交通公社1号線
r|Template:Country data COM|Template:Country data Comoros
r|Template:Country data クイーンズランド州|Template:Country data Queensland
r|Template:Infobox F1レースレポート|Template:Infobox レースレポート
r|Template:ボルシアMGのメンバー|Template:ボルシア・メンヒェングラートバッハのメンバー
r|Template:Country data 香港|Template:Country data Hong Kong
r|Template:Country data ヌナブト準州|Template:Country data Nunavut
r|Template:アカデミー賞助演男優賞 2001-2020|Template:アカデミー賞助演男優賞
r|Template:関西独立U局夕方ニュース|Template:関西独立局夕方ニュース
r|Template:UEFA欧州選手権2012スペイン代表|Template:UEFA EURO 2012スペイン代表
r|Template:Country data チリ領南極|Template:Country data Antártica Chilena Province
r|Template:Bibleref/doc|Template:Bibleverse
r|Template:Location map Northern Territory|Template:Location map Australia Northern Territory
r|Template:岳南鉄道の車両|Template:岳南電車の車両
r|Template:Official/sandbox|Template:Official website/sandbox
r|Template:For step/call5/2|Template:For step/call5
r|Template:バレーボール全日本女子08オ|Template:2008年オリンピックバレーボール全日本女子
r|Template:Cite pmid/18451267|Template:Cite doi/10.1126.2Fscience.1157121
r|Template:合意/doc|Template:合意内容/doc
r|Template:フランス大統領選挙|Template:フランスの選挙
r|Template:IPA-or|Template:IPA-all
r|Template:Country data 和歌山県|Template:Country data Wakayama Prefecture
r|Template:ヘレスのメンバー|Template:ヘレスCDのメンバー
r|Template:NYCS Lenox south|Template:NYCS Lenox
r|Template:バレーボールアメリカ女子08オ|Template:2008年オリンピックバレーボールアメリカ合衆国女子代表
r|Template:流山市の地名|Template:流山市の町・字
