wikiStats|lt

redirects|2496
r|Šablonas:Country data Markė|Šablonas:Country data Markė (Italija)
r|Šablonas:F2 lenktynininkas/doc|Šablonas:Infolentelė F2 lenktynininkas/doc
r|Šablonas:Divide|Šablonas:Skaidyti
r|Šablonas:Country data SYR|Šablonas:Country data Sirija
r|Šablonas:Zh icon|Šablonas:Zh
r|Šablonas:Country data CSK|Šablonas:Country data Čekoslovakija
r|Šablonas:Country data Bolivia|Šablonas:Country data Bolivija
r|Šablonas:Dalinai užrakintas|Šablonas:Pusiau užrakintas
r|Šablonas:Pabaiga|Šablonas:Mirties data
r|Šablonas:Ffgdrchh|Šablonas:Ffgerchh
r|Šablonas:Zygiskr/Komiksų regionai|Šablonas:Komiksų regionai
r|Šablonas:Country data Asturias|Šablonas:Country data Astūrijos kunigaikštystė
r|Šablonas:Country data Šiaurinė teritorija|Šablonas:Country data Šiaurinė Teritorija
r|Šablonas:Country data USA-MO|Šablonas:Country data Misūris
r|Šablonas:Country data USA-IN|Šablonas:Country data Indiana
r|Šablonas:Country data MYT|Šablonas:Country data Majotas
r|Šablonas:Semiprotected|Šablonas:Pusiau užrakintas
r|Šablonas:LT-stub|Šablonas:Lietuva-stub
r|Šablonas:Ffusrkar|Šablonas:Ffukrkar
r|Šablonas:Country data Bonairė|Šablonas:Country data Boneras
r|Šablonas:Country data Žemutinės Pietų Kalifornijos valstija|Šablonas:Country data Žemutinė Pietų Kalifornija
r|Šablonas:Country data Auvergne (region)|Šablonas:Country data Overnė
r|Šablonas:Ukrainos kelių lenktelė|Šablonas:Ukrainos kelių lentelė
r|Šablonas:Country data POL|Šablonas:Country data Lenkija
r|Šablonas:Didžioji Britanija olimpinėse žaidynėse|Šablonas:Jungtinė Karalystė olimpinėse žaidynėse
r|Šablonas:Krep-stub|Šablonas:Krepšinis-stub
r|Šablonas:Country data Virgin Islands, British|Šablonas:Country data Mergelių Salos (Didžioji Britanija)
r|Šablonas:Country data EUR|Šablonas:Country data Europos Sąjunga
r|Šablonas:Seks-stub|Šablonas:Seksologija-stub
r|Šablonas:Lietuvos Premjerai|Šablonas:Lietuvos premjerai
r|Šablonas:Tūkst-stub|Šablonas:Tūkstantmetis-stub
r|Šablonas:Country alias JPN|Šablonas:Country alias Japan
r|Šablonas:Okinavos prefektūra|Šablonas:Okinava
r|Šablonas:Country alias SVN|Šablonas:Country alias Slovenia
r|Šablonas:Wiki-stub|Šablonas:Vikipedija-stub
r|Šablonas:Gifu prefektūra|Šablonas:Gifu
r|Šablonas:Country data FRO|Šablonas:Country data Farerai
r|Šablonas:Nyderlandų futbolo komanda (2006)|Šablonas:Olandijos futbolo komanda (2006)
r|Šablonas:Country data Tibet|Šablonas:Country data Tibetas
r|Šablonas:Welcome|Šablonas:Sveiki
r|Šablonas:Documentation subpage|Šablonas:Dokumentacijos subpuslapis
r|Šablonas:Ffscgbec|Šablonas:Ffsrbbec
r|Šablonas:Moldova-stub|Šablonas:Moldavija-stub
r|Šablonas:Country alias FRA|Šablonas:Country alias France
r|Šablonas:Country data ZAI|Šablonas:Country data Zairas
r|Šablonas:Country data Mexican Federal District|Šablonas:Country data Meksikos Federacinė apygarda
r|Šablonas:Ffyugnap|Šablonas:Ffsrbnap
r|Šablonas:Country data Para (valstija)|Šablonas:Country data Paros valstija
r|Šablonas:Country data Galicija|Šablonas:Country data Galisija
r|Šablonas:Country data TAN|Šablonas:Country data Tanzanija
r|Šablonas:BLR-ter|Šablonas:Baltarusija-ter
r|Šablonas:Med-stub|Šablonas:Medicina-stub
r|Šablonas:DVD|Šablonas:DVDcover
r|Šablonas:Country data Slovakia|Šablonas:Country data Slovakija
r|Šablonas:Country data TAH|Šablonas:Country data Taitis
r|Šablonas:Herbgyv|Šablonas:Ltgyv
r|Šablonas:Country data France|Šablonas:Country data Prancūzija
r|Šablonas:Country flag alias ANG|Šablonas:Country flag alias Angola
r|Šablonas:Portland Trail Blazers|Šablonas:Portlendo Trail Blazers
r|Šablonas:Country data Minnesota|Šablonas:Country data Minesota
r|Šablonas:Country data Ukraine|Šablonas:Country data Ukraina
r|Šablonas:City/SVK|Šablonas:City/Slovakijos miestas
r|Šablonas:Gcheck|Šablonas:Gramatika
r|Šablonas:Country data TKS|Šablonas:Country data Terkso ir Kaikoso salos
r|Šablonas:Country data Palestinian Authority|Šablonas:Country data Palestina
r|Šablonas:Country data FIN|Šablonas:Country data Suomija
r|Šablonas:Country data BUL|Šablonas:Country data Bulgarija
r|Šablonas:Atlikėjas|Šablonas:Infolentelė muzikos atlikėjas
r|Šablonas:Country data Chile|Šablonas:Country data Čilė
r|Šablonas:Country data Bosnija|Šablonas:Country data Bosnija ir Hercegovina
r|Šablonas:Country data FR Yugoslavia|Šablonas:Country data Jugoslavijos FR
r|Šablonas:Country data Republic of Moldova|Šablonas:Country data Moldavija
r|Šablonas:Chu|Šablonas:Cu
r|Šablonas:Asm2|Šablonas:~2
r|Šablonas:Country data San Luis Potosi valstija|Šablonas:Country data San Luis Potosi
r|Šablonas:Country alias LVA|Šablonas:Country alias Latvia
r|Šablonas:Okajamos prefektūra|Šablonas:Okajama
r|Šablonas:Country data Libya|Šablonas:Country data Libija
r|Šablonas:Otheruses|Šablonas:Reikšmės
r|Šablonas:Location map Šakių rajonas|Šablonas:Location map Šakių rajono savivaldybė
r|Šablonas:Country data Chechnya|Šablonas:Country data Čečėnija
r|Šablonas:Mil|Šablonas:Mil orlaiviai
r|Šablonas:Country data Dahomey|Šablonas:Country data Dahomėja
r|Šablonas:F1sezonas/doc|Šablonas:Infolentelė F1 sezonas/doc
r|Šablonas:Country data Zambia|Šablonas:Country data Zambija
