wikiStats|sl

redirects|4004
r|Predloga:Style-guideline|Predloga:Slogovna smernica
r|Predloga:Uranus Footer|Predloga:Uranove lune
r|Predloga:Languageicon|Predloga:Ikona jezika
r|Predloga:Doi|Predloga:DOI
r|Predloga:Lang-la|Predloga:Jezik-la
r|Predloga:Podatki države GB|Predloga:Podatki države Združeno kraljestvo
r|Predloga:Podatki države DEI|Predloga:Podatki države Nizozemska vzhodna Indija
r|Predloga:Infopolje pisava|Predloga:Infopolje Pisava
r|Predloga:La icon|Predloga:Ikona la
r|Predloga:D|Predloga:Briši ker
r|Predloga:Izbrano/36. teden 2012|Predloga:Izbrano/31. teden 2012
r|Predloga:Izbrano/23. teden 2013|Predloga:Izbrano/22. teden 2013
r|Predloga:Wikipediacat|Predloga:Projektna kategorija
r|Predloga:Podatki države HND|Predloga:Podatki države Honduras
r|Predloga:SUBJECTSPACE formatted4|Predloga:SUBJECTSPACE formatiran4
r|Predloga:Non-free book cover|Predloga:Naslovnica knjige
r|Predloga:Podatki države GNQ|Predloga:Podatki države Ekvatorialna Gvineja
r|Predloga:SPvHnLD12009 - slo-croeeeeee|Predloga:SPvHnLD12009 - slo-cro
r|Predloga:Li|Predloga:Lf
r|Predloga:Podatki države TOG|Predloga:Podatki države Togo
r|Predloga:Frequency|Predloga:Frekvenca
r|Predloga:Infobox album|Predloga:Infopolje Album
r|Predloga:Official|Predloga:Uradna spletna stran
r|Predloga:Svetovni prvaki v smučarski poletih|Predloga:Svetovni prvaki v smučarskih poletih
r|Predloga:Podatki države Ireland|Predloga:Podatki države Irska
r|Predloga:Check talk wp|Predloga:Preveri pogovor wp
r|Predloga:DOClink|Predloga:DOC-povezava
r|Predloga:Lang-tt|Predloga:Jezik-tt
r|Predloga:SLO-KO-2VK|Predloga:Slovenski koncilski očetje Drugega vatikanskega koncila
r|Predloga:Infobox Philosopher|Predloga:Infopolje Filozof
r|Predloga:Podatki države MYA|Predloga:Podatki države Mjanmar
r|Predloga:Db-notice|Predloga:Bk-obvestilo
r|Predloga:Location map Thailand|Predloga:Lokacijska karta Tajska
r|Predloga:Amphion class submarine|Predloga:Podmornica razreda Amphion
r|Predloga:Izbrano/26. teden 2008|Predloga:Izbrano/25. teden 2008
r|Predloga:BHU|Predloga:BTN
r|Predloga:De|Predloga:Ikona de
r|Predloga:Fs player|Predloga:Football squad player
r|Predloga:Pred RS|Predloga:Predsedniki Slovenije
r|Predloga:Podatki države MOZ|Predloga:Podatki države Mozambik
r|Predloga:Vcite journal|Predloga:Vnavedi revijo
r|Predloga:UAE-List|Predloga:ARE
r|Predloga:Infobox Scientist|Predloga:Infopolje Znanstvenik
r|Predloga:Podatki države SMOM|Predloga:Podatki države Suvereni vojaški red Malte
r|Predloga:CerkveniOčetje|Predloga:Cerkveni očetje
r|Predloga:F1 cars 1963|Predloga:Dirkalniki F1 1963
r|Predloga:Substchecktop|Predloga:Subst preveri vrh
r|Predloga:Navedi pmid/17336465|Predloga:Navedi doi/10.1016.2Fj.ijrobp.2006.12.013
r|Predloga:Podatki države BRU|Predloga:Podatki države Brunej
r|Predloga:Mesta in okrožja zvezne dežele Koroške|Predloga:Mesta in okraji zvezne dežele Koroške
r|Predloga:Cerkveniucitelji|Predloga:Cerkveni učitelji
r|Predloga:Podatki države GLP|Predloga:Podatki države Guadeloupe
r|Predloga:Podatki države ZAM|Predloga:Podatki države Zambija
r|Predloga:Cs icon|Predloga:Ikona cs
r|Predloga:Details3|Predloga:Podrobnosti3
r|Predloga:User sl-2|Predloga:Uporabnik sl-2
r|Predloga:Crowncolonies|Predloga:Britanska odvisna ozemlja
r|Predloga:Podatki države Valencia|Predloga:Podatki države Valencija
r|Predloga:Infobox locomotive|Predloga:Infopolje Lokomotiva
r|Predloga:Location map Germany|Predloga:Lokacijska karta Nemčija
r|Predloga:Infopolje nagrada/dok|Predloga:Infopolje Nagrada/dok
r|Predloga:Convert/C|Predloga:Convert/°C
r|Predloga:POR|Predloga:PRT
r|Predloga:Infobox film|Predloga:Infopolje Film
r|Predloga:Infobox map/marks|Predloga:Infopolje Zemljevid/oznake
r|Predloga:Podatki države TRI|Predloga:Podatki države Trinidad in Tobago
r|Predloga:Infopolje TV kanal|Predloga:Infopolje TV-kanal
r|Predloga:Namespace category|Predloga:Kategorija imenskega prostora
