wikiStats|vi

redirects|8831
r|Bản mẫu:Pp-semi-template|Bản mẫu:Khóa-bản mẫu
r|Bản mẫu:Location map New Zealand|Bản mẫu:Bản đồ định vị New Zealand
r|Bản mẫu:Trước tháng 4|Bản mẫu:Trước tháng 04
r|Bản mẫu:TRI|Bản mẫu:TTO
r|Bản mẫu:Side box|Bản mẫu:Hộp bên
r|Bản mẫu:CampaignBoxSatsumaRebellion|Bản mẫu:Chiến dịch trong Chiến tranh Tây Nam
r|Bản mẫu:MONTH|Bản mẫu:THÁNG
r|Bản mẫu:Precision/10|Bản mẫu:Độ chính xác/10
r|Bản mẫu:Rating/doc|Bản mẫu:Đánh giá/doc
r|Bản mẫu:Võ sĩ quyền anh|Bản mẫu:Võ sĩ quyền Anh
r|Bản mẫu:Country data Donetsk Oblast|Bản mẫu:Country data Vùng Donetsk
r|Bản mẫu:Country data NGR|Bản mẫu:Country data Nigeria
r|Bản mẫu:Infobox beverage|Bản mẫu:Thông tin thức uống
r|Bản mẫu:Location map Russia Moscow Oblast|Bản mẫu:Bản đồ định vị Nga tỉnh Moskva
r|Bản mẫu:Antarctica-stub|Bản mẫu:Sơ khai Nam Cực
r|Bản mẫu:Country flag alias Namibia|Bản mẫu:Cờ nước Namibia
r|Bản mẫu:Các quận huyện Hà Nội|Bản mẫu:Các huyện thị Hà Nội
r|Bản mẫu:Danh sách phường thuộc quận Ngô Quyền|Bản mẫu:Danh sách đơn vị hành chính thuộc thành phố Hải Phòng
r|Bản mẫu:Infobox Sicilian Royalty|Bản mẫu:Thông tin nhân vật hoàng gia
r|Bản mẫu:Min|Bản mẫu:Tối thiểu
r|Bản mẫu:Thong tin artifact|Bản mẫu:Thông tin artifact
r|Bản mẫu:Mental and behavioural disorders|Bản mẫu:Rối loạn tâm thần và hành vi
r|Bản mẫu:Thị trấn của Bouches-du-Rhône|Bản mẫu:Xã của Bouches-du-Rhône
r|Bản mẫu:Djibouti-stub|Bản mẫu:Sơ khai Djibouti
r|Bản mẫu:Cờ nước CH Trung Phi|Bản mẫu:Cờ nước Cộng hòa Trung Phi
r|Bản mẫu:Fluiddynamics-stub|Bản mẫu:Sơ khai động lực học chất lưu
r|Bản mẫu:Thủ tướng|Bản mẫu:Thông tin viên chức
r|Bản mẫu:Calendar/Sun1stMonthStartMon|Bản mẫu:Calendar/Sun1stMonthStartthứ 2
r|Bản mẫu:Hylobatidae nav|Bản mẫu:Họ Vượn
r|Bản mẫu:Thành viên sử dụng Google Chrome|Bản mẫu:Chrome User
r|Bản mẫu:Đô thị tỉnh Sevilla|Bản mẫu:Đô thị ở Sevilla
r|Bản mẫu:Loop|Bản mẫu:Vòng lặp
r|Bản mẫu:Db-talk|Bản mẫu:Db-c8
r|Bản mẫu:Tránh nhầm|Bản mẫu:Phân biệt
r|Bản mẫu:Country flag alias Libya|Bản mẫu:Cờ nước Libya
r|Bản mẫu:Harvsp|Bản mẫu:Harvard citation
r|Bản mẫu:Thái cực quyền 5 nhà|Bản mẫu:Ngũ đại danh gia Thái cực quyền
r|Bản mẫu:Country data Dutch Guiana|Bản mẫu:Country data Guiana thuộc Hà Lan
r|Bản mẫu:Infobox/doc|Bản mẫu:Hộp thông tin/doc
r|Bản mẫu:Harv|Bản mẫu:Harvard citation
r|Bản mẫu:Location map Thái Lan|Bản mẫu:Bản đồ định vị Thái Lan
r|Bản mẫu:Trademarked|Bản mẫu:Thương hiệu
r|Bản mẫu:Infobox Prime Minister|Bản mẫu:Thông tin viên chức
r|Bản mẫu:Infobox media|Bản mẫu:Thông tin phương tiện lưu trữ
r|Bản mẫu:Country data URS|Bản mẫu:Country data Soviet Union
r|Bản mẫu:Location map UK Scotland|Bản mẫu:Bản đồ định vị Scotland
r|Bản mẫu:Bronze3|Bản mẫu:Đồng3
r|Bản mẫu:Infobox product|Bản mẫu:Thông tin sản phẩm
r|Bản mẫu:Location map Vietnam HCMC|Bản mẫu:Bản đồ định vị Thành phố Hồ Chí Minh
r|Bản mẫu:R msp|Bản mẫu:R from modification
r|Bản mẫu:Sơ khai tỉnh Moskva|Bản mẫu:Sơ khai Nga
r|Bản mẫu:Thiếu bằng chứng-tb|Bản mẫu:Xh-thiếu bằng chứng-tb
r|Bản mẫu:Lục khanh|Bản mẫu:Khanh đại phu nước Tấn
r|Bản mẫu:Country data IRL|Bản mẫu:Country data Republic of Ireland
r|Bản mẫu:Xã của Guyane|Bản mẫu:Xã của Guyane thuộc Pháp
r|Bản mẫu:Thông tin thành phố Myanmar|Bản mẫu:Thông tin thành phố Miến Điện
r|Bản mẫu:Double dagger|Bản mẫu:Double-dagger
r|Bản mẫu:Chủ đề Tennis|Bản mẫu:Chủ đề Quần vợt
r|Bản mẫu:Sơ khai địa lý Singapore|Bản mẫu:Singapore-geo-stub
r|Bản mẫu:Gobiiformes-stub|Bản mẫu:Sơ khai Bộ Cá bống
r|Bản mẫu:Description missing|Bản mẫu:Thiếu lời miêu tả
r|Bản mẫu:Country data POR|Bản mẫu:Country data Bồ Đào Nha
r|Bản mẫu:Infobox Election|Bản mẫu:Thông tin bầu cử
r|Bản mẫu:Infobox summit meeting|Bản mẫu:Thông tin hội nghị thượng đỉnh
r|Bản mẫu:Infobox Broadcast/doc|Bản mẫu:Thông tin phát sóng/doc
r|Bản mẫu:Error:must be substituted|Bản mẫu:Lỗi:phải được thay thế
r|Bản mẫu:Country data ARM|Bản mẫu:Country data Armenia
r|Bản mẫu:Orobanchaceae-stub|Bản mẫu:Sơ khai Họ Cỏ chổi
r|Bản mẫu:Country data EST|Bản mẫu:Country data Estonia
r|Bản mẫu:Số học tiểu học|Bản mẫu:Số học sơ cấp
r|Bản mẫu:Campaignbox Crimean War|Bản mẫu:Chiến tranh Krym
r|Bản mẫu:Sơ khai phần cứng|Bản mẫu:Sơ khai phần cứng máy tính
r|Bản mẫu:Country data MGL|Bản mẫu:Country data Mông Cổ
r|Bản mẫu:Country data Bosnia-Herzegovina|Bản mẫu:Country data Bosna và Hercegovina
r|Bản mẫu:Country data Guiana (Anh)|Bản mẫu:Country data Guiana thuộc Anh
r|Bản mẫu:Nhiều hình ảnh|Bản mẫu:Nhiều hình
r|Bản mẫu:Country flag alias Panama|Bản mẫu:Cờ nước Panama
r|Bản mẫu:Geobox coor/doc|Bản mẫu:Tọa độ trong hộp địa lý/doc
r|Bản mẫu:Country data HUN|Bản mẫu:Country data Hungary
r|Bản mẫu:Hemiptera|Bản mẫu:Bộ Cánh nửa
r|Bản mẫu:Miss World|Bản mẫu:Hoa hậu Thế giới
r|Bản mẫu:Danh sách xã, phường thuộc thị xã Thủ Dầu Một|Bản mẫu:Danh sách phường, xã thuộc thành phố Thủ Dầu Một
r|Bản mẫu:Aviation accidents and incidents|Bản mẫu:Tai nạn và sự cố hàng không
r|Bản mẫu:Harvard reference/authors|Bản mẫu:Chú thích/tác giả
r|Bản mẫu:Sơ khai địa lý Trung Mỹ|Bản mẫu:CentralAm-geo-stub
r|Bản mẫu:Approved|Bản mẫu:Đã duyệt
r|Bản mẫu:Convert/tới(-)|Bản mẫu:Convert/to(-)
r|Bản mẫu:Location map Somalia|Bản mẫu:Bản đồ định vị Somalia
r|Bản mẫu:Hide in print|Bản mẫu:Ẩn khi in
r|Bản mẫu:Transnistria-stub|Bản mẫu:Sơ khai Transnistria
r|Bản mẫu:Cucurbitaceae-stub|Bản mẫu:Sơ khai Họ Bầu bí
r|Bản mẫu:Infobox song|Bản mẫu:Thông tin bài hát
